File Name,,,20251204_calbfluc003_01_01.RCC,20251204_calbfluc003_01_02.RCC,20251204_calbfluc003_01_03.RCC,20251204_calbfluc003_01_04.RCC,20251204_calbfluc003_01_05.RCC,20251204_calbfluc003_01_06.RCC,20251204_calbfluc003_01_07.RCC,20251204_calbfluc003_01_08.RCC,20251204_calbfluc003_01_09.RCC,20251204_calbfluc003_01_10.RCC,20251204_calbfluc003_01_11.RCC,20251204_calbfluc003_01_12.RCC,,,
Description,,,,,,,,,,,,,,,,,
Sample ID,,,Fx119X4,Fx120X4,Fx127X4,Fx129X4,Fx138X4,Fx139X4,Fx119F4,Fx120F4,Fx127F4,Fx129F4,Fx138F4,Fx139F4,,,
Owner,,,,,,,,,,,,,,,,,
Sample Date,,,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,12/4/25,,,
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,
Gene RLF,,,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,,,
Comments,,,,,,,,,,,,,,,,,
Lane ID,,,1,2,3,4,5,6,7,8,9,10,11,12,,,
FOV Count,,,555,555,555,555,555,555,555,555,555,555,555,555,,,
FOV Counted,,,552,554,549,552,548,552,553,553,548,549,550,550,,,
Scanner ID,,,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,,,
Stage Position,,,3,3,3,3,3,3,3,3,3,3,3,3,,,
Binding Density,,,0.13,0.12,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.13,0.11,0.12,,,
Messages,,,,,,,,,,,,,,,,,
Positive,POS_A,ERCC_00034.1,38359,37014,38870,35520,34865,35676,31342,33163,30669,37235,28367,22473,,,
Positive,POS_B,ERCC_00112.1,10173,9913,10178,9465,9302,9205,8498,8581,8245,9897,7721,6038,,,
Positive,POS_C,ERCC_00002.1,3485,3320,3552,3244,3242,3285,2860,2973,2782,3309,2501,2019,,,
Positive,POS_D,ERCC_00092.1,921,914,917,834,791,889,760,840,731,868,694,570,,,
Positive,POS_E,ERCC_00035.1,233,208,217,218,201,172,166,223,154,209,155,122,,,
Positive,POS_F,ERCC_00117.1,35,36,43,29,29,34,35,31,16,38,19,17,,,
Negative,NEG_A,ERCC_00096.1,2,1,1,1,1,1,1,3,1,2,1,2,,,
Negative,NEG_B,ERCC_00041.1,3,8,3,1,2,1,1,6,2,4,2,1,,,
Negative,NEG_C,ERCC_00019.1,5,5,3,3,4,1,6,8,4,5,4,2,,,
Negative,NEG_D,ERCC_00076.1,1,3,1,3,1,2,1,3,1,1,3,1,,,
Negative,NEG_E,ERCC_00098.1,1,2,1,1,1,3,2,2,1,2,1,1,,,
Negative,NEG_F,ERCC_00126.1,3,2,6,1,3,1,3,4,1,2,2,2,,,
Endogenous,CaFluc1_R_CAALFM_C200860CA,CaFluc3_R_CAALFM_C2.1,552,1961,380,226,180,202,343,1044,215,211,164,206,,,
Endogenous,CaFluc1_R_CAALFM_C301540WA,CaFluc3_R_CAALFM_C3.1,16,10,1,7,3,74,617,490,11,20,41,209,,,
Endogenous,CaFluc1_R_CAALFM_CR08930CA,CaFluc3_R_CAALFM_30.1,447,848,227,204,159,153,260,465,182,129,141,170,,,
Endogenous,CaFluc1_R_CAALFM_CR08990CA,CaFluc3_R_CAALFM_90.1,40,55,19,11,31,21,47,146,21,25,16,21,,,
Endogenous,CaFluc1_Rup_CDR1,orf19_6000.1,302,711,115,71,79,145,240,578,95,75,70,134,,,
Endogenous,CaFluc1_Rup_CDR2,orf19_5958.1,5,7,1,1,3,5,2,6,2,2,1,2,,,
Endogenous,CaFluc3_C_ACT1,CaFluc3_C_ACT1.1,907,2428,409,222,221,228,624,1554,313,181,162,243,,,
Endogenous,CaFluc3_C_COF1,CaFluc3_C_COF1.1,306,710,148,78,67,82,211,485,119,58,85,103,,,
Endogenous,CaFluc3_C_CTA3,CaFluc3_C_CTA3.1,63,168,21,20,15,24,49,95,21,26,17,21,,,
Endogenous,CaFluc3_C_GSC1,CaFluc3_C_GSC1.1,330,653,190,156,162,178,264,468,118,163,153,153,,,
Endogenous,CaFluc3_C_OLE1,CaFluc3_C_OLE1.1,356,845,219,141,123,119,274,411,144,149,149,150,,,
Endogenous,CaFluc3_C_PDA1,CaFluc3_C_PDA1.1,698,1044,377,176,154,187,446,638,288,127,150,220,,,
Endogenous,CaFluc3_C_POR1,CaFluc3_C_POR1.1,715,1485,229,102,139,124,542,878,201,79,90,139,,,
Endogenous,CaFluc3_C_SEC26,CaFluc3_C_SEC26.1,97,220,74,30,36,21,76,138,52,21,21,25,,,
Endogenous,CaFluc3_C_TFP1,CaFluc3_C_TFP1.1,189,276,71,36,52,45,111,155,54,29,36,44,,,
Endogenous,CaFluc3_C_TOM1,CaFluc3_C_TOM1.1,156,247,69,79,51,64,134,159,50,61,46,82,,,
Endogenous,CaFluc3_R_CSR1,CaFluc3_R_CSR1.1,114,438,63,42,18,24,57,208,55,26,29,26,,,
Endogenous,CaFluc3_R_ERG11,CaFluc3_R_ERG11.1,51,85,36,48,22,23,95,209,38,46,45,34,,,
Endogenous,CaFluc3_R_ERG13,CaFluc3_R_ERG13.1,30,39,18,25,29,19,82,68,27,28,30,18,,,
Endogenous,CaFluc3_R_ERG2,CaFluc3_R_ERG2.1,38,40,11,12,11,8,95,72,19,16,15,21,,,
Endogenous,CaFluc3_R_ERG24,CaFluc3_R_ERG24.1,31,42,20,17,10,11,27,65,10,15,14,17,,,
Endogenous,CaFluc3_R_ERG25,CaFluc3_R_ERG25.1,62,105,34,29,34,21,158,303,76,50,72,70,,,
Endogenous,CaFluc3_R_ERG3,CaFluc3_R_ERG3.1,120,261,67,29,34,40,447,1227,110,109,126,120,,,
Endogenous,CaFluc3_R_ERG4,CaFluc3_R_ERG4.1,46,84,34,4,5,14,58,121,31,10,13,18,,,
Endogenous,CaFluc3_R_ERG5,CaFluc3_R_ERG5.1,77,194,41,30,26,25,165,459,47,73,52,56,,,
Endogenous,CaFluc3_R_ERG6,CaFluc3_R_ERG6.1,84,169,50,63,62,41,599,2473,136,173,194,89,,,
Endogenous,CaFluc3_R_MSH6,CaFluc3_R_MSH6.1,11,28,8,2,5,6,3,13,6,5,6,2,,,
Endogenous,CaFluc3_R_PMC1,CaFluc3_R_PMC1.1,54,52,21,6,11,8,71,99,12,5,5,12,,,
Endogenous,CaFluc3_R_SAP9,CaFluc3_R_SAP9.1,72,191,17,17,30,29,185,306,14,17,23,27,,,
Endogenous,CaFluc3_R_SET3,CaFluc3_R_SET3.1,58,112,34,33,23,34,173,381,27,24,30,21,,,
Endogenous,CaFluc3_R_SOD1,CaFluc3_R_SOD1.1,255,813,84,75,59,43,171,353,60,57,64,72,,,
Endogenous,CaFluc3_R_STP4,CaFluc3_R_STP4.1,51,122,14,36,74,55,122,370,16,48,81,59,,,
Endogenous,CaFluc3_R_ZRT2,CaFluc3_R_ZRT2.1,2048,5223,780,801,658,609,1145,2883,675,652,675,722,,,
