File Name,,,20251028_CalbFluc001_Fx041X4_01.RCC,20251028_CalbFluc001_Fx042X4_02.RCC,20251028_CalbFluc001_Fx043X4_03.RCC,20251028_CalbFluc001_983X4_04.RCC,20251028_CalbFluc001_985X4_05.RCC,20251028_CalbFluc001_087X4_06.RCC,20251028_CalbFluc001_Fx041F4_07.RCC,20251028_CalbFluc001_Fx042F4_08.RCC,20251028_CalbFluc001_Fx043F4_09.RCC,20251028_CalbFluc001_983F4_10.RCC,20251028_CalbFluc001_985F4_11.RCC,20251028_CalbFluc001_087F4_12.RCC
Endogenous,CaFluc3_R_ERG13,CaFluc3_R_ERG13.1,51,69,106,128,392,154,124,215,451,135,343,432
Endogenous,CaFluc3_R_ERG2,CaFluc3_R_ERG2.1,15,23,43,110,113,157,113,102,201,141,154,470
Endogenous,CaFluc3_R_ERG24,CaFluc3_R_ERG24.1,56,37,59,83,138,110,129,121,203,100,274,505
Endogenous,CaFluc3_R_ERG25,CaFluc3_R_ERG25.1,115,83,128,457,403,437,529,420,719,467,521,1042
Endogenous,CaFluc3_R_ERG3,CaFluc3_R_ERG3.1,277,244,345,1813,2193,2281,2350,2393,2589,2584,2647,5512
Endogenous,CaFluc3_R_ERG4,CaFluc3_R_ERG4.1,138,78,197,203,195,197,260,204,430,266,212,562
Endogenous,CaFluc3_R_ERG5,CaFluc3_R_ERG5.1,168,116,175,461,478,523,775,694,899,596,719,2188
Endogenous,CaFluc3_R_ERG6,CaFluc3_R_ERG6.1,156,103,127,1250,428,775,1631,1563,2554,2054,1176,5856
Endogenous,CaFluc3_R_MSH6,CaFluc3_R_MSH6.1,30,25,56,12,21,12,11,15,20,15,13,19
Endogenous,CaFluc3_R_PMC1,CaFluc3_R_PMC1.1,367,145,221,1206,152,324,547,367,341,1035,362,699
Endogenous,CaFluc3_R_SAP9,CaFluc3_R_SAP9.1,1978,577,260,2145,607,2875,3403,2016,1095,1859,2577,8768
Endogenous,CaFluc3_R_SET3,CaFluc3_R_SET3.1,160,83,133,207,136,150,434,254,355,290,322,733
Endogenous,CaFluc3_R_SOD1,CaFluc3_R_SOD1.1,2371,999,1224,1779,442,678,990,805,724,1602,365,741
Endogenous,CaFluc3_R_STP4,CaFluc3_R_STP4.1,194,134,166,339,326,648,834,457,352,296,553,1183
Endogenous,CaFluc3_R_ZRT2,CaFluc3_R_ZRT2.1,8252,4418,5532,9237,1633,3176,6087,3155,3578,6929,1340,4490
