File Name,,,20251028_CalbFluc001_Fx041X4_01.RCC,20251028_CalbFluc001_Fx042X4_02.RCC,20251028_CalbFluc001_Fx043X4_03.RCC,20251028_CalbFluc001_983X4_04.RCC,20251028_CalbFluc001_985X4_05.RCC,20251028_CalbFluc001_087X4_06.RCC,20251028_CalbFluc001_Fx041F4_07.RCC,20251028_CalbFluc001_Fx042F4_08.RCC,20251028_CalbFluc001_Fx043F4_09.RCC,20251028_CalbFluc001_983F4_10.RCC,20251028_CalbFluc001_985F4_11.RCC,20251028_CalbFluc001_087F4_12.RCC
Description,,,,,,,,,,,,,,
Sample ID,,,Fx041X4,Fx042X4,Fx043X4,983X4,985X4,087X4,Fx041F4,Fx042F4,Fx043F4,983F4,985F4,087F4
Owner,,,Liz,Liz,Liz,Liz,Liz,Liz,Liz,Liz,Liz,Liz,Liz,Liz
Sample Date,,,,,,,,,,,,,,
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Gene RLF,,,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732
Comments,,,,,,,,,,,,,,
Lane ID,,,1,2,3,4,5,6,7,8,9,10,11,12
FOV Count,,,555,555,555,555,555,555,555,555,555,555,555,555
FOV Counted,,,555,554,548,550,553,554,554,550,552,552,553,552
Scanner ID,,,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014
Stage Position,,,3,3,3,3,3,3,3,3,3,3,3,3
Binding Density,,,0.15,0.14,0.14,0.16,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.16
Messages,,,,,,,,,,,,,,
Positive,POS_A,ERCC_00034.1,34927,28235,31613,31777,26073,31052,24935,24838,27830,26133,23880,30512
Positive,POS_B,ERCC_00112.1,9717,8005,9082,9086,7410,8685,7186,7042,7965,7586,6729,8561
Positive,POS_C,ERCC_00002.1,3554,2840,3151,3146,2655,2976,2512,2454,2774,2593,2334,3002
Positive,POS_D,ERCC_00092.1,923,794,784,865,648,785,617,653,773,704,607,734
Positive,POS_E,ERCC_00035.1,220,169,192,197,139,158,175,161,191,156,144,168
Positive,POS_F,ERCC_00117.1,23,32,31,37,16,29,21,23,19,28,25,37
Negative,NEG_A,ERCC_00096.1,1,1,3,8,1,1,3,3,1,4,2,4
Negative,NEG_B,ERCC_00041.1,4,4,4,4,2,6,7,3,2,4,3,8
Negative,NEG_C,ERCC_00019.1,6,9,7,18,8,7,11,7,12,13,2,8
Negative,NEG_D,ERCC_00076.1,6,4,3,8,3,4,3,3,6,7,4,6
Negative,NEG_E,ERCC_00098.1,2,4,6,4,2,1,2,1,2,2,1,7
Negative,NEG_F,ERCC_00126.1,10,6,2,5,4,5,6,2,5,4,2,5
Endogenous,CaFluc1_R_CAALFM_C200860CA,CaFluc3_R_CAALFM_C2.1,2656,1129,1494,2012,932,911,1905,1049,971,1617,632,1186
Endogenous,CaFluc1_R_CAALFM_C301540WA,CaFluc3_R_CAALFM_C3.1,183,188,169,35,625,2605,3418,3817,3188,25,2463,14090
Endogenous,CaFluc1_R_CAALFM_CR08930CA,CaFluc3_R_CAALFM_30.1,2269,1325,1505,1629,1341,1074,1141,1046,1022,1352,1038,1333
Endogenous,CaFluc1_R_CAALFM_CR08990CA,CaFluc3_R_CAALFM_90.1,705,252,157,208,371,1762,1864,1297,241,156,1859,2177
Endogenous,CaFluc1_Rup_CDR1,orf19_6000.1,2278,1010,3581,7635,708,1214,1523,1002,2416,6766,544,2440
Endogenous,CaFluc1_Rup_CDR2,orf19_5958.1,23,15,31,603,3,12,10,7,15,908,5,5
Endogenous,CaFluc3_C_ACT1,CaFluc3_C_ACT1.1,4187,2809,2999,4290,2514,1788,2317,2413,2643,4022,1988,3926
Endogenous,CaFluc3_C_COF1,CaFluc3_C_COF1.1,1593,969,1011,1209,1055,995,1061,1070,945,1141,1036,1620
Endogenous,CaFluc3_C_CTA3,CaFluc3_C_CTA3.1,536,230,190,328,192,220,251,202,186,337,163,290
Endogenous,CaFluc3_C_GSC1,CaFluc3_C_GSC1.1,1300,895,1413,2301,1303,926,1167,1126,1323,2046,1165,1919
Endogenous,CaFluc3_C_OLE1,CaFluc3_C_OLE1.1,5862,3212,3106,4021,2435,2132,3371,3120,2552,3513,2837,4298
Endogenous,CaFluc3_C_PDA1,CaFluc3_C_PDA1.1,3541,1753,3867,3633,1554,1572,1679,1549,2627,3023,965,2408
Endogenous,CaFluc3_C_POR1,CaFluc3_C_POR1.1,5738,2879,2699,4445,2526,2502,2879,2775,2611,4698,2962,4457
Endogenous,CaFluc3_C_SEC26,CaFluc3_C_SEC26.1,558,279,423,439,310,277,296,271,339,471,214,563
Endogenous,CaFluc3_C_TFP1,CaFluc3_C_TFP1.1,798,498,651,850,401,334,422,398,470,891,340,571
Endogenous,CaFluc3_C_TOM1,CaFluc3_C_TOM1.1,1217,716,574,751,539,491,618,658,485,849,515,834
Endogenous,CaFluc3_R_CSR1,CaFluc3_R_CSR1.1,339,267,490,686,235,292,264,270,377,617,163,353
Endogenous,CaFluc3_R_ERG11,CaFluc3_R_ERG11.1,110,87,110,324,301,405,425,355,413,417,488,1650
