File Name,,,20251107_calbfluc002_01_01.RCC,20251107_calbfluc002_01_02.RCC,20251107_calbfluc002_01_03.RCC,20251107_calbfluc002_01_04.RCC,20251107_calbfluc002_01_05.RCC,20251107_calbfluc002_01_06.RCC,20251107_calbfluc002_01_07.RCC,20251107_calbfluc002_01_08.RCC,20251107_calbfluc002_01_09.RCC,20251107_calbfluc002_01_10.RCC,20251107_calbfluc002_01_11.RCC,20251107_calbfluc002_01_12.RCC,,,,
Description,,,,,,,,,,,,,,,,,,
Sample ID,,,Fx040X4,Fx086X4,Fx104X4,Fx106X4,Fx108X4,Fx114X4,Fx040F4,Fx086F4,Fx104F4,Fx106F4,Fx108F4,Fx114F4,,,,
Owner,,,,,,,,,,,,,,,,,,
Sample Date,,,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,11/7/25,,,,
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,
Gene RLF,,,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,CAFLUC3_2_C4732,,,,
Comments,,,,,,,,,,,,,,,,,,
Lane ID,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FOV Count,,,555,555,555,555,555,555,555,555,555,555,555,555,,,,
FOV Counted,,,403,458,420,376,398,410,391,421,390,363,423,413,,,,
Scanner ID,,,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,1110C0014,,,,
Stage Position,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,
Binding Density,,,0.09,0.1,0.11,0.12,0.11,0.11,0.1,0.09,0.11,0.1,0.1,0.1,,,,
Messages,,,,,,,,,,,,,,,,,,
Positive,POS_A,ERCC_00034.1,16550,19266,19954,16763,19200,18940,15610,16683,16121,16533,17723,19873,,,,
Positive,POS_B,ERCC_00112.1,4511,5067,5009,4491,5018,4983,4305,4242,4057,4355,4842,5285,,,,
Positive,POS_C,ERCC_00002.1,1704,1836,1886,1610,1752,1772,1604,1581,1478,1641,1717,1874,,,,
Positive,POS_D,ERCC_00092.1,486,496,512,410,488,446,393,414,422,403,452,509,,,,
Positive,POS_E,ERCC_00035.1,111,107,107,111,117,109,107,108,83,115,103,134,,,,
Positive,POS_F,ERCC_00117.1,20,29,14,20,27,18,29,26,21,12,26,28,,,,
Negative,NEG_A,ERCC_00096.1,1,1,1,1,1,1,1,1,1,4,1,1,,,,
Negative,NEG_B,ERCC_00041.1,1,2,1,1,1,1,2,1,1,2,3,2,,,,
Negative,NEG_C,ERCC_00019.1,3,2,4,8,2,1,1,1,2,4,2,1,,,,
Negative,NEG_D,ERCC_00076.1,1,1,2,1,2,1,1,1,1,2,3,2,,,,
Negative,NEG_E,ERCC_00098.1,1,1,1,2,1,1,1,3,1,1,1,1,,,,
Negative,NEG_F,ERCC_00126.1,1,1,2,3,2,2,1,1,2,3,2,2,,,,
Endogenous,CaFluc1_R_CAALFM_C200860CA,CaFluc3_R_CAALFM_C2.1,382,482,345,1228,342,291,423,179,218,688,364,231,,,,
