File Name,,,20251107_calbfluc002_01_01.RCC,20251107_calbfluc002_01_02.RCC,20251107_calbfluc002_01_03.RCC,20251107_calbfluc002_01_04.RCC,20251107_calbfluc002_01_05.RCC,20251107_calbfluc002_01_06.RCC,20251107_calbfluc002_01_07.RCC,20251107_calbfluc002_01_08.RCC,20251107_calbfluc002_01_09.RCC,20251107_calbfluc002_01_10.RCC,20251107_calbfluc002_01_11.RCC,20251107_calbfluc002_01_12.RCC,,,,
Endogenous,CaFluc1_R_CAALFM_C301540WA,CaFluc3_R_CAALFM_C3.1,14,81,1,15,10,6,597,24,17,1256,432,158,,,,
Endogenous,CaFluc1_R_CAALFM_CR08930CA,CaFluc3_R_CAALFM_30.1,282,293,302,880,270,174,252,137,170,413,234,171,,,,
Endogenous,CaFluc1_R_CAALFM_CR08990CA,CaFluc3_R_CAALFM_90.1,97,41,22,138,26,27,96,33,17,67,50,35,,,,
Endogenous,CaFluc1_Rup_CDR1,orf19_6000.1,167,814,164,823,197,122,239,351,100,514,214,139,,,,
Endogenous,CaFluc1_Rup_CDR2,orf19_5958.1,6,134,1,4,3,1,4,53,1,3,2,1,,,,
Endogenous,CaFluc3_C_ACT1,CaFluc3_C_ACT1.1,473,437,379,1418,355,228,451,160,237,807,333,202,,,,
Endogenous,CaFluc3_C_COF1,CaFluc3_C_COF1.1,304,169,183,600,175,108,279,61,98,374,139,97,,,,
Endogenous,CaFluc3_C_CTA3,CaFluc3_C_CTA3.1,34,41,13,84,35,18,31,14,13,37,41,28,,,,
Endogenous,CaFluc3_C_GSC1,CaFluc3_C_GSC1.1,216,261,248,521,174,183,216,120,159,415,181,174,,,,
Endogenous,CaFluc3_C_OLE1,CaFluc3_C_OLE1.1,84,208,138,507,138,90,94,88,96,358,158,98,,,,
Endogenous,CaFluc3_C_PDA1,CaFluc3_C_PDA1.1,249,342,310,899,244,204,240,144,199,555,234,170,,,,
Endogenous,CaFluc3_C_POR1,CaFluc3_C_POR1.1,348,328,325,1225,279,182,356,141,204,712,311,177,,,,
Endogenous,CaFluc3_C_SEC26,CaFluc3_C_SEC26.1,57,28,52,152,32,25,43,14,25,98,34,26,,,,
Endogenous,CaFluc3_C_TFP1,CaFluc3_C_TFP1.1,70,86,67,244,78,60,68,28,59,150,75,43,,,,
Endogenous,CaFluc3_C_TOM1,CaFluc3_C_TOM1.1,93,76,89,288,91,56,91,33,57,139,85,57,,,,
Endogenous,CaFluc3_R_CSR1,CaFluc3_R_CSR1.1,52,96,87,228,46,42,70,27,51,114,46,21,,,,
Endogenous,CaFluc3_R_ERG11,CaFluc3_R_ERG11.1,32,88,44,66,20,21,100,45,62,203,59,39,,,,
Endogenous,CaFluc3_R_ERG13,CaFluc3_R_ERG13.1,19,41,16,52,13,16,44,26,20,100,37,30,,,,
Endogenous,CaFluc3_R_ERG2,CaFluc3_R_ERG2.1,10,21,9,49,6,9,35,16,25,88,17,17,,,,
Endogenous,CaFluc3_R_ERG24,CaFluc3_R_ERG24.1,14,18,17,32,7,13,33,12,16,53,28,14,,,,
Endogenous,CaFluc3_R_ERG25,CaFluc3_R_ERG25.1,53,79,64,151,51,33,228,40,127,329,166,98,,,,
Endogenous,CaFluc3_R_ERG3,CaFluc3_R_ERG3.1,61,117,58,191,79,49,391,68,201,823,429,269,,,,
Endogenous,CaFluc3_R_ERG4,CaFluc3_R_ERG4.1,31,45,21,54,16,19,43,18,27,93,39,32,,,,
Endogenous,CaFluc3_R_ERG5,CaFluc3_R_ERG5.1,70,97,53,147,21,29,312,27,106,413,158,84,,,,
Endogenous,CaFluc3_R_ERG6,CaFluc3_R_ERG6.1,61,185,65,137,65,54,1375,110,491,2173,820,471,,,,
Endogenous,CaFluc3_R_MSH6,CaFluc3_R_MSH6.1,11,9,5,28,4,7,4,3,3,5,3,3,,,,
Endogenous,CaFluc3_R_PMC1,CaFluc3_R_PMC1.1,5,50,15,55,11,11,30,9,14,88,23,19,,,,
Endogenous,CaFluc3_R_SAP9,CaFluc3_R_SAP9.1,85,112,69,161,89,44,144,64,57,223,186,136,,,,
Endogenous,CaFluc3_R_SET3,CaFluc3_R_SET3.1,35,38,30,65,34,35,174,16,75,297,164,51,,,,
Endogenous,CaFluc3_R_SOD1,CaFluc3_R_SOD1.1,104,187,98,398,150,84,77,70,69,194,125,79,,,,
Endogenous,CaFluc3_R_STP4,CaFluc3_R_STP4.1,112,50,74,176,66,45,121,52,68,155,106,73,,,,
Endogenous,CaFluc3_R_ZRT2,CaFluc3_R_ZRT2.1,869,1687,1586,3090,1323,789,1010,617,961,1665,1000,629,,,,
