SampleID,MIC,Susceptibility,RNAseq,Identifier
Fx042,0.0625,S,Y S,GC75
Fx041,0.25,S,Y S,P75016
Fx043,0.125,S,Y S,12C
Fx040,0.25,S,N,19F
983,256,R,Y R,P94015
985,256,R,Y R,P60002
Fx086,32,R,N,AR0761
Fx087,256,R,Y R,AR0762
Fx104,0.25,S,N,Fx104
Fx106,0.25,S,N,Fx106
Fx108,0.125,S,N,Fx108
Fx114,0.125,S,N,Fx114
Fx119,0.125,S,N,Fx119
Fx120,0.25,S,N,Fx120
Fx127,0.5,S,N,Fx127
Fx129,0.25,S,N,Fx129
Fx138,0.5,S,N,Fx138
Fx139,0.25,S,N,Fx139
